,date,station_name,count(card_id)
0,2020-09-24,(02000) Cabecera Autopista Norte,1237
1,2020-03-24,(02000) Cabecera Autopista Norte,904
2,2020-03-07,(02000) Cabecera Autopista Norte - alimentacion,14467
3,2020-08-25,(02000) Cabecera Autopista Norte - alimentacion,4120
4,2020-04-06,(02000) Cabecera Autopista Norte - alimentacion,2580
5,2020-09-10,(02000) Cabecera Autopista Norte - intermunicipal,594
6,2020-01-22,(02001) Centro Comercial Santa Fe,4731
7,2020-08-24,(02001) Centro Comercial Santa Fe,372
8,2020-05-20,(02101) Toberín,1020
9,2020-10-07,(02102) Calle 161,240
10,2020-09-01,(02102) Calle 161,188
11,2020-10-06,(02105) Calle 142,753
12,2020-05-15,(02200) Alcalá,745
13,2020-08-07,(02201) Prado,210
14,2020-02-02,(02205) Calle 106,195
15,2020-03-04,(02300) Calle 100,1829
16,2020-06-05,(02300) Calle 100,328
17,2020-01-04,(02300) Calle 100,624
18,2020-02-07,(02302) Virrey,494
19,2020-01-11,(02304) Heroes,370
20,2020-01-25,(02304) Heroes,414
21,2020-06-08,(03000) Portal Suba - alimentacion,6727
22,2020-08-01,(03001) LA CAMPIÑA,621
23,2020-08-18,(03003) 21 ANGELES,289
24,2020-05-21,(03005) SUBA - AV. BOYACA,228
25,2020-03-24,(03005) SUBA - AV. BOYACA,266
26,2020-05-15,(03010) PUENTE LARGO,90
27,2020-02-07,(03011) SUBA - CALLE 100,795
28,2020-02-13,(03011) SUBA - CALLE 100,830
29,2020-06-09,(03011) SUBA - CALLE 100,100
30,2020-01-23,(03012) SUBA - CALLE 95,496
31,2020-01-16,(04000) Cabecera Calle 80,7076
32,2020-04-08,(04000) Cabecera Calle 80,417
33,2020-03-27,(04000) Cabecera Calle 80,380
34,2020-06-02,(04001) Quirigua,416
35,2020-07-22,(04002) Carrera 90,664
36,2020-05-17,(04100) Carrera 77,275
37,2020-10-08,(04101) Minuto de Dios,361
38,2020-01-10,(04102) Avenida Boyaca,1481
39,2020-01-06,(04103) Las Ferias,197
40,2020-08-19,(04104) Avenida 68,229
41,2020-08-30,(04107) Escuela Militar,23
42,2020-08-13,(05000) Portal Américas,3260
43,2020-09-07,(05000) Portal Américas - alimentacion,12802
44,2020-04-08,(05000) Portal Américas - alimentacion,6681
45,2020-06-01,(05001) Patio Bonito,1353
46,2020-04-02,(05001) Patio Bonito,959
47,2020-10-07,(05002) Tintal,3561
48,2020-01-12,(05101) Mandalay - Cr.73,124
49,2020-08-24,(05102) Av. Américas - Av. Boyacá,168
50,2020-07-19,(05103) Marsella,90
51,2020-08-03,(05107) Américas - Cr.53,178
52,2020-04-10,(06000) Portal Eldorado,116
53,2020-05-09,(06000) Portal Eldorado - alimentacion,2124
54,2020-08-26,(06001) Modelia,164
55,2020-10-04,(06001) Modelia,82
56,2020-04-28,(06002) Normandía,131
57,2020-06-19,(06002) Normandía,214
58,2020-03-11,(06101) El Tiempo,1250
59,2020-03-17,(06101) El Tiempo,486
60,2020-02-20,(06104) Gobernación,404
61,2020-05-05,(06106) Recinto Ferial,80
62,2020-09-27,(06109) Centro Memoria,45
63,2020-06-08,(07000) Portal Sur,2023
64,2020-04-30,(07000) Portal Sur,1266
65,2020-10-06,(07000) Portal Sur - alimentacion,10515
66,2020-09-23,(07000) Portal Sur - alimentacion,10728
67,2020-03-17,(07001) PERDOMO,3168
68,2020-09-11,(07001) PERDOMO,1220
69,2020-08-16,(07002) MADELENA,202
70,2020-05-14,(07003) SEVILLANA,324
71,2020-02-29,(07005) ALQUERIA,1721
72,2020-05-01,(07005) ALQUERIA,149
73,2020-03-07,(07006) General Santander,1744
74,2020-07-06,(07006) General Santander,591
75,2020-03-08,(07006) General Santander - alimentacion,285
76,2020-07-13,(07006) General Santander - alimentacion,325
77,2020-01-15,(07008) NQS - Calle 30 Sur,1662
78,2020-05-24,(07009) SENA,144
79,2020-02-11,(07102) NQS - CALLE 75,437
80,2020-10-09,(07103) AV. CHILE,326
81,2020-02-25,(07108) Av. El Dorado,470
82,2020-01-31,(07109) CAD,1090
83,2020-05-28,(07110) PALOQUEMAO,151
84,2020-03-04,(07112) COMUNEROS,3320
85,2020-08-22,(07200) Tygua-San José,120
86,2020-04-03,(07201) Guatoque -Veraguas,40
87,2020-08-07,(07503) SAN MATEO,4244
88,2020-08-13,(07504) TERREROS,6544
89,2020-06-03,(07504) TERREROS,5799
90,2020-08-26,(07504) TERREROS,6422
91,2020-09-18,(08000) Portal Tunal - alimentacion,7831
92,2020-02-01,(08002) Biblioteca,608
93,2020-02-19,(09000) Cabecera Usme,6659
94,2020-05-05,(09000) Cabecera Usme,1214
95,2020-01-27,(09000) Cabecera Usme - alimentacion,27052
96,2020-07-11,(09001) Molinos,2557
97,2020-09-07,(09001) Molinos,3027
98,2020-09-11,(09001) Molinos,3129
99,2020-09-15,(09002) Consuelo,548
100,2020-07-05,(09004) Santa Lucía,897
101,2020-09-22,(09103) Olaya,1043
102,2020-09-14,(09103) Olaya,988
103,2020-02-20,(09104) Restrepo,4737
104,2020-05-27,(09104) Restrepo,1262
105,2020-07-20,(09104) Restrepo,359
106,2020-08-30,(09110) Avenida Jimenez,87
107,2020-02-25,(09111) Calle 19,773
108,2020-07-08,(09002) Consuelo,548
109,2020-01-25,(09114) Calle 26,357
110,2020-06-11,(09114) Calle 26,108
111,2020-03-04,(09117) Calle 45,1918
112,2020-02-20,(09117) Calle 45,2077
113,2020-08-14,(09118) Marly,478
114,2020-09-10,(09119) Calle 57,256
115,2020-07-31,(09119) Calle 57,238
116,2020-08-12,(09119) Calle 57,234
117,2020-03-23,(09121) Las Flores,125
118,2020-09-30,(09121) Las Flores,203
119,2020-07-10,(09123) Calle 76,158
120,2020-02-29,(10000) Portal 20 de Julio,6049
121,2020-10-05,(10000) Portal 20 de Julio,2798
122,2020-06-19,(10000) Portal 20 de Julio,2575
123,2020-09-05,(10000) Portal 20 de Julio - alimentacion,4250
124,2020-05-17,(10000) Portal 20 de Julio - alimentacion,1333
125,2020-04-26,(10000) Portal 20 de Julio - alimentacion,1354
126,2020-01-20,(10001) Country Sur,5172
127,2020-07-19,(10002) Av. Primero de Mayo,494
128,2020-07-16,(10003) Ciudad Jardín,173
129,2020-02-16,(10004) Policarpa,224
130,2020-02-11,(10006) San Victorino,398
131,2020-05-29,(10009) Museo Nacional,114
132,2020-04-07,(12001) Carrera 43,142
133,2020-09-19,(12001) Carrera 43,218
134,2020-05-22,(12001) Carrera 43,211
135,2020-05-31,(12007) Zona Industrial,9
136,2020-02-15,(14005) Las Aguas,662
137,2020-05-08,(40001) Juan Pablo II,385
138,2020-03-27,(40001) Juan Pablo II,265
139,2020-10-02,(40003) Mirador del Paraiso,2084
140,2020-04-26,(50003) Corral Molinos,403
141,2020-07-12,(02001) Centro Comercial Santa Fe,108
142,2020-04-09,(02101) Toberín,150
143,2020-06-08,(02302) Virrey,110
144,2020-06-26,(02302) Virrey,113
145,2020-09-17,(02304) Heroes,130
146,2020-04-29,(02304) Heroes,112
147,2020-10-04,(03011) SUBA - CALLE 100,50
148,2020-04-02,(04101) Minuto de Dios,136
149,2020-04-24,(04104) Avenida 68,143
150,2020-06-15,(05005) Transversal 86,118
151,2020-10-10,(06102) Salitre El Greco,52
152,2020-01-28,(06108) Concejo de Bogotá,453
153,2020-05-21,(06109) Centro Memoria,87
154,2020-05-30,(07110) PALOQUEMAO,137
155,2020-04-15,(07113) SANTA ISABEL,182
156,2020-01-26,(09105) Río Fucha,96
157,2020-07-26,(09110) Avenida Jimenez,66
158,2020-05-18,(09117) Calle 45,265
159,2020-03-22,(09119) Calle 57,107
160,2020-09-11,(09122) Calle 72,439
161,2020-01-22,(10006) San Victorino,332
162,2020-08-28,(14004) Museo del Oro,37
163,2020-05-25,(40002) Manitas,163
164,2020-09-10,(02103) Mazurén,179
165,2020-06-14,(02103) Mazurén,36
166,2020-08-25,(03006) NIZA - CALLE 127,116
167,2020-07-26,(03011) SUBA - CALLE 100,62
168,2020-08-02,(04106) Carrera 47,71
169,2020-07-15,(05101) Mandalay - Cr.73,99
170,2020-06-21,(06109) Centro Memoria,46
171,2020-08-17,(07003) SEVILLANA,109
172,2020-08-06,(07107) U. NACIONAL,92
173,2020-07-05,(07107) U. NACIONAL,61
174,2020-04-12,(09121) Las Flores,87
175,2020-06-20,(09121) Las Flores,177
176,2020-08-18,(03010) PUENTE LARGO,79
177,2020-06-05,(06103) CAN,100
178,2020-10-05,(06104) Gobernación,45
179,2020-07-15,(06105) Quinta Paredes,46
180,2020-06-07,(07002) MADELENA,193
181,2020-06-02,(07101) CASTELLANA,50
182,2020-08-13,(07102) NQS - CALLE 75,90
183,2020-06-23,(07102) NQS - CALLE 75,93
184,2020-04-11,(10004) Policarpa,50
185,2020-05-05,(10008) San Diego,49
186,2020-09-16,(14001) La Sabana,27
187,2020-04-16,(06107) Ciudad Universitaria,50
188,2020-07-09,(07101) CASTELLANA,52
189,2020-05-23,(12002) CDS - Carrera 32,93
190,2020-04-08,(12004) Carrera 22,35
191,2020-03-20,(03012) SUBA - CALLE 95,51
192,2020-03-28,(04104) Avenida 68,81
193,2020-04-22,(04108) El Polo,79
194,2020-04-03,(10006) San Victorino,43
195,2020-07-05,(03013) RIO NEGRO,60
196,2020-04-17,(50006) Corral Carrera 77,5
197,2020-04-03,(05105) Pradera,111
198,2020-07-07,(12000) Puente Aranda,28
199,2020-09-05,(10009) Museo Nacional,112
200,2020-03-13,(12003) Ricaurte,20
201,2020-05-03,(12001) Carrera 43,23
202,2020-03-12,(07008) NQS - Calle 30 Sur,38
203,2020-05-04,(12000) Puente Aranda,24
204,2020-05-01,(06108) Concejo de Bogotá,31
205,2020-05-10,(03004) GRATAMIRA,6
206,2020-05-13,(02000) Cabecera Autopista Norte,740
207,2020-02-15,(02000) Cabecera Autopista Norte,4657
208,2020-06-28,(02000) Cabecera Autopista Norte,298
