,date,weekday,covid,variable,value
0,2020-01-01,1,before,rg_stratum1,10.620065087148138
1,2020-01-02,1,before,rg_stratum1,11.486919201346508
2,2020-01-03,1,before,rg_stratum1,11.35089288555685
3,2020-01-04,0,before,rg_stratum1,11.115683056958346
4,2020-01-05,0,before,rg_stratum1,10.335180901647504
5,2020-01-06,1,before,rg_stratum1,10.874845140905938
6,2020-01-07,1,before,rg_stratum1,11.512517610082982
7,2020-01-08,1,before,rg_stratum1,11.609399292100523
8,2020-01-09,1,before,rg_stratum1,11.58451258881909
9,2020-01-10,1,before,rg_stratum1,11.586945100896735
10,2020-01-11,0,before,rg_stratum1,11.272616718902468
11,2020-01-12,0,before,rg_stratum1,10.450955575652772
12,2020-01-13,1,before,rg_stratum1,11.603959289191408
13,2020-01-14,1,before,rg_stratum1,11.639329703404218
14,2020-01-15,1,before,rg_stratum1,11.672679889842403
15,2020-01-16,1,before,rg_stratum1,11.664164232319717
16,2020-01-17,1,before,rg_stratum1,11.655902253204829
17,2020-01-18,0,before,rg_stratum1,11.22096249020761
18,2020-01-19,0,before,rg_stratum1,10.407138306206921
19,2020-01-20,1,before,rg_stratum1,11.5788233628016
20,2020-01-21,1,before,rg_stratum1,10.971399577111772
21,2020-01-22,1,before,rg_stratum1,11.645342180525603
22,2020-01-23,1,before,rg_stratum1,11.648283384829524
23,2020-01-24,1,before,rg_stratum1,11.56023257655714
24,2020-01-25,0,before,rg_stratum1,11.278777036832766
25,2020-01-26,0,before,rg_stratum1,10.427730746853069
26,2020-01-27,1,before,rg_stratum1,11.535702007515642
27,2020-01-28,1,before,rg_stratum1,11.541273979131873
28,2020-01-29,1,before,rg_stratum1,11.590713989255157
29,2020-01-30,1,before,rg_stratum1,11.56427700869571
30,2020-01-31,1,before,rg_stratum1,11.562684522976925
31,2020-02-01,0,before,rg_stratum1,11.137066465487601
32,2020-02-02,0,before,rg_stratum1,10.271679611405212
33,2020-02-03,1,before,rg_stratum1,11.355200417876974
34,2020-02-04,1,before,rg_stratum1,11.309703652279506
35,2020-02-05,1,before,rg_stratum1,11.360405706705375
36,2020-02-06,1,before,rg_stratum1,11.382829501964537
37,2020-02-07,1,before,rg_stratum1,11.365458158262355
38,2020-02-08,0,before,rg_stratum1,11.154825418301819
39,2020-02-09,0,before,rg_stratum1,10.281039040776529
40,2020-02-10,1,before,rg_stratum1,11.428889173723181
41,2020-02-11,1,before,rg_stratum1,11.427456229413838
42,2020-02-12,1,before,rg_stratum1,11.418638899922797
43,2020-02-13,1,before,rg_stratum1,11.457733166812968
44,2020-02-14,1,before,rg_stratum1,11.422116668478408
45,2020-02-15,0,before,rg_stratum1,11.146688545546919
46,2020-02-16,0,before,rg_stratum1,10.345178771506765
47,2020-02-17,1,before,rg_stratum1,11.420954339653836
48,2020-02-18,1,before,rg_stratum1,11.42885840765025
49,2020-02-19,1,before,rg_stratum1,11.159337198381873
50,2020-02-20,1,before,rg_stratum1,11.354001190755447
51,2020-02-21,1,before,rg_stratum1,11.349472485487247
52,2020-02-22,0,before,rg_stratum1,11.153025462969337
53,2020-02-23,0,before,rg_stratum1,10.435429962246442
54,2020-02-24,1,before,rg_stratum1,11.297817111760995
55,2020-02-25,1,before,rg_stratum1,11.41023560955651
56,2020-02-26,1,before,rg_stratum1,11.320936957434515
57,2020-02-27,1,before,rg_stratum1,11.336171530294614
58,2020-02-28,1,before,rg_stratum1,11.301440754446332
59,2020-02-29,0,before,rg_stratum1,11.018627429603319
60,2020-03-01,0,before,rg_stratum1,10.383338852357678
61,2020-03-02,1,before,rg_stratum1,11.22434087459709
62,2020-03-03,1,before,rg_stratum1,11.285209105471612
63,2020-03-04,1,before,rg_stratum1,11.275797457320092
64,2020-03-05,1,before,rg_stratum1,11.291623392653436
65,2020-03-06,1,before,rg_stratum1,11.310505534882575
66,2020-03-07,0,before,rg_stratum1,11.0844549578533
67,2020-03-08,0,before,rg_stratum1,10.313052358695188
68,2020-03-11,1,before,rg_stratum1,11.376167988152103
69,2020-03-14,0,before,rg_stratum1,11.110540946028763
70,2020-03-15,0,before,rg_stratum1,10.505029029597416
71,2020-03-16,1,before,rg_stratum1,11.402781156716593
72,2020-03-17,1,before,rg_stratum1,11.376937387633541
73,2020-03-18,1,before,rg_stratum1,11.33404101575607
74,2020-03-19,1,before,rg_stratum1,11.314392386802702
75,2020-03-20,1,before,rg_stratum1,10.961983149104752
76,2020-03-21,0,before,rg_stratum1,10.37770348427978
77,2020-03-22,0,before,rg_stratum1,10.43901748251268
78,2020-03-23,1,before,rg_stratum1,10.503140402412198
79,2020-03-24,1,after,rg_stratum1,10.552925144962215
80,2020-03-25,1,after,rg_stratum1,10.758348257092907
81,2020-03-26,1,after,rg_stratum1,10.639196438006316
82,2020-03-27,1,after,rg_stratum1,10.595867290100905
83,2020-03-28,0,after,rg_stratum1,10.588139534690617
84,2020-03-29,0,after,rg_stratum1,10.381617986448529
85,2020-03-30,1,after,rg_stratum1,10.590139125714572
86,2020-03-31,1,after,rg_stratum1,10.510117618284088
87,2020-04-01,1,after,rg_stratum1,10.252736611836596
88,2020-04-02,1,after,rg_stratum1,10.2969446168722
89,2020-04-03,1,after,rg_stratum1,10.453464199623525
90,2020-04-04,0,after,rg_stratum1,10.364692694641118
91,2020-04-05,0,after,rg_stratum1,9.994213049447746
92,2020-04-06,1,after,rg_stratum1,10.434284742938203
93,2020-04-07,1,after,rg_stratum1,10.501653351371711
94,2020-04-08,1,after,rg_stratum1,10.538242603122283
95,2020-04-09,1,after,rg_stratum1,10.285379054602242
96,2020-04-11,0,after,rg_stratum1,10.915372529196993
97,2020-04-12,0,after,rg_stratum1,10.52082972849581
98,2020-04-13,1,after,rg_stratum1,10.836623286631125
99,2020-04-14,1,after,rg_stratum1,10.706653500181135
100,2020-04-15,1,after,rg_stratum1,10.61014382063806
101,2020-04-16,1,after,rg_stratum1,10.314361018701446
102,2020-04-17,1,after,rg_stratum1,10.313828770261782
103,2020-04-18,0,after,rg_stratum1,10.539861098955303
104,2020-04-19,0,after,rg_stratum1,10.227507058812575
105,2020-04-20,1,after,rg_stratum1,10.588896709635344
106,2020-04-21,1,after,rg_stratum1,10.780821354441604
107,2020-04-22,1,after,rg_stratum1,10.749285709936368
108,2020-04-23,1,after,rg_stratum1,10.687744890922518
109,2020-04-24,1,after,rg_stratum1,10.79323853465828
110,2020-04-25,0,after,rg_stratum1,10.70903985630653
111,2020-04-26,0,after,rg_stratum1,10.352909867932492
112,2020-04-28,1,after,rg_stratum1,10.5732942796362
113,2020-04-29,1,after,rg_stratum1,10.898800145113247
114,2020-04-30,1,after,rg_stratum1,10.78710680350181
115,2020-05-02,0,after,rg_stratum1,10.701600038668719
116,2020-05-03,0,after,rg_stratum1,10.31073130258626
117,2020-05-04,1,after,rg_stratum1,10.850667315238248
118,2020-05-05,1,after,rg_stratum1,10.86887185480137
119,2020-05-06,1,after,rg_stratum1,10.917496255221288
120,2020-05-07,1,after,rg_stratum1,11.009850503029716
121,2020-05-08,1,after,rg_stratum1,11.00509285058117
122,2020-05-09,0,after,rg_stratum1,10.928841800895125
123,2020-05-10,0,after,rg_stratum1,10.452200477587473
124,2020-05-11,1,after,rg_stratum1,10.995885242922698
125,2020-05-12,1,after,rg_stratum1,11.055814701018985
126,2020-05-13,1,after,rg_stratum1,11.042511678274835
127,2020-05-14,1,after,rg_stratum1,11.252972262787884
128,2020-05-15,1,after,rg_stratum1,11.16906156847196
129,2020-05-16,0,after,rg_stratum1,10.915660275143276
130,2020-05-17,0,after,rg_stratum1,10.262197473468984
131,2020-05-18,1,after,rg_stratum1,11.027535245248762
132,2020-05-19,1,after,rg_stratum1,11.107398653965367
133,2020-05-20,1,after,rg_stratum1,11.170269562835465
134,2020-05-21,1,after,rg_stratum1,11.173033819737547
135,2020-05-22,1,after,rg_stratum1,11.219069507778425
136,2020-05-23,0,after,rg_stratum1,11.011387393455363
137,2020-05-24,0,after,rg_stratum1,10.423953334618666
138,2020-05-26,1,after,rg_stratum1,11.187554764865581
139,2020-05-27,1,after,rg_stratum1,11.291161891726846
140,2020-05-28,1,after,rg_stratum1,11.1537015808557
141,2020-05-29,1,after,rg_stratum1,11.231726640647489
142,2020-05-30,0,after,rg_stratum1,11.02196747156912
143,2020-05-31,0,after,rg_stratum1,10.34725029579842
144,2020-06-01,1,after,rg_stratum1,11.255469510295237
145,2020-06-04,1,after,rg_stratum1,11.295706226589564
146,2020-06-05,1,after,rg_stratum1,11.351086707265985
147,2020-06-08,1,after,rg_stratum1,11.301647648813475
148,2020-06-09,1,after,rg_stratum1,11.34719928930809
149,2020-06-10,1,after,rg_stratum1,11.415667066459134
150,2020-06-11,1,after,rg_stratum1,11.37565030225922
151,2020-06-12,1,after,rg_stratum1,11.243704030403697
152,2020-06-13,0,after,rg_stratum1,11.086990813039607
153,2020-06-14,0,after,rg_stratum1,10.344675174283994
154,2020-06-16,1,after,rg_stratum1,11.36603349614018
155,2020-06-17,1,after,rg_stratum1,11.291800767612509
